technique,positive,negative
propaganda,35.2782988547966,31.78537223481044
Loaded_Language,29.120698928257532,24.969048564554182
"Name_Calling,Labeling",19.488134748330733,14.989838585344204
"Exaggeration,Minimisation",15.072608256483583,10.371650821089023
Flag-Waving,11.936088992667026,7.785745987993178
Appeal_to_fear-prejudice,11.542548307119151,9.147609147609149
Doubt,2.9725439781716103,1.9014693171996542
Black-and-White_Fallacy,2.558014456061182,1.5090284753206102
Causal_Oversimplification,1.9939394734425626,1.1609708238921723
